Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Snake Eyes,"Crime ,Mystery",1998,"nicolascage ,garysinise ,johnheard",briandepalma,5.8,331.0,11.604533,False,en,"All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to."
Safe Men,"Comedy ,Crime",1998,"samrockwell ,stevezahn ,paulgiamatti",johnhamburg,6.3,17.0,3.3837040000000003,False,en,"Two untalented singers are mistaken for a pair of major league safe crackers in Providence, Rhode Island. The two are pressed into service by the local hoodlums and quickly find themselves in conflict with their professional colleagues. Romantic interest is added by the daughter of the underworld leader who won't date the men she knows are gangsters."
Atlantic City,"Crime ,Drama ,Romance",1980,"burtlancaster ,susansarandon ,katereid",louismalle,6.7,58.0,3.8351879999999996,False,en,"Lou (Burt Lancaster), a small time gangster who thinks he used to be something big, meets and falls for a sexy casino employee named Sally (Susan Sarandon). She needs his help realizing her dream of going to Monte Carlo, a symbol of the glamorous life that she has been looking for so desperately."
Autumn Sonata,"Music ,Drama",1978,"ingridbergman ,livullmann ,lenanyman",ingmarbergman,7.8,83.0,4.850503,False,sv,"After a seven-year absence, Charlotte Andergast travels to Sweden to reunite with her daughter Eva. The pair have a troubled relationship: Charlotte sacrificed the responsibilities of motherhood for a career as a classical pianist. Over an emotional night, the pair reopen the wounds of the past. Charlotte gets another shock when she finds out that her mentally impaired daughter, Helena, is out of the asylum and living with Eva."
Who's Afraid of Virginia Woolf?,Drama,1966,"elizabethtaylor ,richardburton ,georgesegal",mikenichols,7.8,199.0,5.564294,False,en,Mike Nichols’ film from Edward Albee's play brought new themes to the film industry. Elizabeth Taylor and Richard Burton have never been more brilliant together as they portray an experienced married couple who love each other yet verbally attack one another when they see how boring their naïve newlywed guests have made their night.
Adventures in Babysitting,"Thriller ,Comedy ,Crime ,Adventure",1987,"elisabethshue ,maiabrewton ,keithcoogan",chriscolumbus,6.6,169.0,7.230508,False,en,"When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more."
Weird Science,"Comedy ,Romance ,Fantasy",1985,"anthonymichaelhall ,kellylebrock ,ilanmitchell-smith",johnhughes,6.4,375.0,11.104542,False,en,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men."
Doctor Dolittle,"Adventure ,Fantasy ,Comedy ,Family ,Music ,Romance",1967,"rexharrison ,samanthaeggar ,richardattenborough",richardfleischer,6.0,42.0,3.896319,False,en,"Get ready for the wildest adventure of a lifetime in the most ambitious production ever brought to film. Earning a 1967 Academy Award nomination for Best Picture, this dazzling fantasy turns both ordinary and exotic animals into talking, dancing and singing sensations! Rex Harrison is unforgettable in this inspiring adaptation of Hugh Lofting's classic stories.Step into the English country home of the good doctor as he performs remarkable treatments on the wildest variety of patients you could imagine. Discover his secret cures and watch with wide-eyed excitement as he and his four-legged, fine-feathered friends charm their way into your heart!"
The Nutty Professor,"Comedy ,Family ,Romance ,Science Fiction",1963,"jerrylewis ,stellastevens ,henrygibson",jerrylewis,6.6,90.0,6.36551,False,en,"Jerry Lewis directed, co-wrote and starred in this riotously funny movie that set a new standard for screen comedy and inspired the hit remake. Lewis plays a timid, nearsighted chemistry teacher who discovers a magical potion that can transform him into a suave and handsome Romeo. The Jekyll and Hyde game works well enough until the concoction starts to wear off at the most embarrassing times."
Charlotte's Web,"Animation ,Drama ,Family",1973,"debbiereynolds ,henrygibson ,dannybonaduce",charlesa.nichols,6.2,100.0,7.574372,False,en,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen."
Watership Down,"Adventure ,Animation ,Drama",1978,"johnhurt ,richardbriers ,michaelgrahamcox",martinrosen,7.3,159.0,5.602126,False,en,"When the warren belonging to a community of rabbits is threatened, a brave group led by Fiver, Bigwig, Blackberry and Hazel leave their homeland in a search of a safe new haven."
The Secret of NIMH,"Fantasy ,Animation ,Drama ,Family",1982,"derekjacobi ,elizabethhartman ,arthurmalet",donbluth,7.5,186.0,10.812275,False,en,"A widowed field mouse must move her family -- including an ailing son -- to escape a farmer's plow. Aided by a crow and a pack of superintelligent, escaped lab rats, the brave mother struggles to transplant her home to firmer ground."
The Dark Crystal,Fantasy,1982,"jimhenson ,kathrynmullen ,frankoz",jimhenson,7.3,233.0,13.524001,False,en,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal and restore order to his world, before the grotesque race of Skeksis find and use the crystal for evil."
An American Tail,"Drama ,Family ,Animation ,Adventure",1986,"phillipglasser ,domdeluise ,nehemiahpersoff",donbluth,6.6,344.0,11.928545,False,en,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home."
An American Tail: Fievel Goes West,"Adventure ,Animation ,Family",1991,"phillipglasser ,jamesstewart ,ericayohn",philnibbelink,6.2,180.0,8.800701,False,en,"Some time after the Mousekewitz's have settled in America, they find that they are still having problems with the threat of cats. That makes them eager to try another home out in the west, where they are promised that mice and cats live in peace. Unfortunately, the one making this claim is an oily con artist named Cat R. Waul who is intent on his own sinister plan."
Legend,"Adventure ,Fantasy",1985,"tomcruise ,miasara ,timcurry",ridleyscott,6.2,282.0,10.932786,False,en,"Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess Lily and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age."
Sixteen Candles,"Comedy ,Romance",1984,"mollyringwald ,justinhenry ,michaelschoeffling",johnhughes,6.9,455.0,6.683723,False,en,A teenage girls deals with her parents forgetting her birthday and a crush on her high school's heartthrob.
Pretty in Pink,Comedy,1986,"mollyringwald ,joncryer ,andrewmccarthy",howarddeutch,6.6,313.0,8.568378,False,en,"Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy."
St. Elmo's Fire,"Drama ,Romance",1985,"emilioestevez ,roblowe ,andrewmccarthy",joelschumacher,6.0,133.0,9.116245,False,en,"Seven friends - Alec, Billy, Jules, Kevin, Kirby, Leslie and Wendy - are trying to navigate through life and their friendships following college graduation. Alec, who aspires to political life, has just shown his true colors by changing his allegiance from Democrat to Republican, which freaks out girlfriend Leslie, who he wants to marry. Budding architect Leslie, on the other hand, has an independent streak. She believes she has to make a name for herself to find out who she is before she can truly commit to another person in marriage. But Leslie and Alec have decided to live together. Because Leslie refuses to marry Alec, he believes that justifies certain behavior. Kirby, who wants to become a lawyer and who pays for his schooling by working as a waiter at their local hangout called St. Elmo's Bar, and struggling writer Kevin are currently roommates. They are on opposite extremes of the romance spectrum."
The Clan of the Cave Bear,"Adventure ,Drama",1986,"darylhannah ,pamelareed ,jamesremar",michaelchapman,4.7,28.0,10.750748,False,en,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive."
House,"Comedy ,Horror",1986,"williamkatt ,georgewendt ,richardmoll",steveminer,5.8,144.0,13.208901999999998,False,en,"Roger Cobb is a author who has just separated from his wife. He moves into a new house and tries to work on a novel based on his experiences in the Vietnam War. Strange things start happening around him; little things at first, but as they become more frequent, Cobb becomes aware that the house resents his presence."
House II: The Second Story,"Fantasy ,Horror ,Comedy",1987,"aryegross ,jonathanstark ,royaldano",ethanwiley,5.0,66.0,13.416333999999999,False,en,"Young urban professionals Jesse (Arye Gross) and his girlfriend Kate (Lar Park Lincoln), move into an old mansion that has been in Jesse's family for generations. They are soon joined by Jesse's goofy friend Charlie (Jonathan Stark), who brought along his diva girlfriend Lana (Amy Yasbeck), in the hopes of being discovered by Kate, who works for a record company. Jesse has returned to this old family mansion after his parents were murdered when he was a baby. While going through old things in the basement, Jesse finds a picture of his great-great grandfather (and namesake) in front of a Mayan temple holding a crystal skull with jewels in the eyes. In the background is a man Jesse learns is Slim Razor, a former partner of his great-great grandfather turned bitter enemy after a disagreement over who would get to keep the skull."
